V(Au),sV(Au),V(3C),sV(3C),T(3C),sT(3C)
5.699726557999999699e+01,6.090556800000000021e-02,7.005410000000000537e+01,4.179999999999999688e-02,1.465000000000000000e+03,4.171930008999999728e+01
5.700712227999999726e+01,5.169951999999999881e-02,6.996580000000000155e+01,3.450000000000000289e-02,1.644000000000000000e+03,3.181980515000000054e+01
5.696382847000000282e+01,5.331435300000000183e-02,6.994589999999999463e+01,4.170000000000000095e-02,1.701000000000000000e+03,3.818376617999999922e+01
5.694322847000000110e+01,4.673620700000000183e-02,6.990770000000000550e+01,4.170000000000000095e-02,1.726000000000000000e+03,1.767766952999999930e+01
5.693657010999999812e+01,4.220003900000000169e-02,6.985380000000000678e+01,4.529999999999999999e-02,1.819000000000000000e+03,2.474873734000000169e+01
5.693661277999999726e+01,4.460461500000000024e-02,6.984470000000000312e+01,4.529999999999999999e-02,1.848000000000000000e+03,1.909188308999999961e+01
5.693451198999999718e+01,3.924806899999999654e-02,6.981229999999999336e+01,4.519999999999999712e-02,1.937000000000000000e+03,9.192388154999999728e+00
5.690930655999999743e+01,3.820612500000000050e-02,6.979059999999999775e+01,4.519999999999999712e-02,1.975000000000000000e+03,3.394112549999999828e+01
5.689207191999999935e+01,4.155781399999999848e-02,6.979370000000000118e+01,4.159999999999999809e-02,1.971000000000000000e+03,4.313351364999999760e+01
5.689030499999999790e+01,3.873790800000000145e-02,6.974509999999999366e+01,4.159999999999999809e-02,2.097000000000000000e+03,1.937472579999999880e+02
5.694278627999999998e+01,4.523706100000000202e-02,6.945109999999999673e+01,4.130000000000000338e-02,1.680000000000000000e+03,3.676955261999999891e+01
5.799626737999999904e+01,1.206870699999999970e-02,7.069400000000000261e+01,4.599999999999999922e-02,1.974000000000000000e+03,1.279863273999999933e+02
5.814440327999999880e+01,2.586239300000000088e-02,7.081100000000000705e+01,4.240000000000000019e-02,2.079000000000000000e+03,1.619274528999999916e+02
5.835933962000000008e+01,2.602901100000000120e-02,7.134659999999999513e+01,4.290000000000000063e-02,1.957000000000000000e+03,6.010407639999999674e+01
5.775458245000000090e+01,1.070048900000000053e-02,7.080939999999999657e+01,4.240000000000000019e-02,1.733000000000000000e+03,8.697413409000000684e+01
5.774889406999999864e+01,9.425268000000000534e-03,7.078189999999999316e+01,3.500000000000000333e-02,1.696000000000000000e+03,9.828784258000000307e+01
5.773725486000000018e+01,8.211566700000000329e-02,7.077639999999999532e+01,3.500000000000000333e-02,1.813000000000000000e+03,1.060660172000000046e+02
5.778231444000000039e+01,1.012725750000000036e-01,7.075100000000000477e+01,3.500000000000000333e-02,1.833000000000000000e+03,1.202081527999999935e+02
5.782325502999999856e+01,1.394185769999999880e-01,7.072320000000000562e+01,3.500000000000000333e-02,1.900000000000000000e+03,1.265721137999999968e+02
5.786365480999999988e+01,1.433888670000000032e-01,7.072129999999999939e+01,3.500000000000000333e-02,1.911000000000000000e+03,1.110157645999999971e+02
5.796437774000000331e+01,7.127937400000000645e-02,7.073720000000000141e+01,3.500000000000000333e-02,1.966000000000000000e+03,8.485281374000000199e+01
5.794854835999999665e+01,7.437233499999999775e-02,7.074190000000000111e+01,3.500000000000000333e-02,2.043000000000000000e+03,2.616295089999999846e+01
5.794959398999999678e+01,2.557972700000000002e-02,7.076909999999999457e+01,4.150000000000000216e-02,2.122000000000000000e+03,4.525483400000000245e+01
5.790777698000000129e+01,4.052268199999999737e-02,7.066100000000000136e+01,3.500000000000000333e-02,1.924000000000000000e+03,1.697056274999999914e+01
