V(Au),sV(Au),V(6H),sV(6H),T(6H),sT(6H)
5.875618089999999683e+01,4.604130800000000301e-02,1.082023999999999972e+02,3.960000000000000325e-02,2.246000000000000000e+03,4.949747500000000144e+01
5.874581481999999966e+01,4.398995800000000261e-02,1.082185999999999950e+02,4.120000000000000051e-02,2.313000000000000000e+03,7.778174599999999828e+01
5.863368118000000351e+01,4.523706100000000202e-02,1.081293000000000006e+02,3.790000000000000313e-02,2.223000000000000000e+03,3.818376599999999854e+01
5.815318998000000050e+01,1.394185769999999880e-01,1.069309999999999974e+02,4.909999999999999781e-02,1.713000000000000000e+03,4.030508700000000033e+01
5.813611438000000220e+01,1.433888670000000032e-01,1.070998000000000019e+02,4.839999999999999858e-02,1.742000000000000000e+03,9.545941500000000701e+01
5.814034999999999798e+01,7.127937400000000645e-02,1.071659999999999968e+02,4.859999999999999737e-02,1.648000000000000000e+03,7.495331899999999337e+01
5.817077770000000214e+01,7.437233499999999775e-02,1.070906999999999982e+02,4.920000000000000068e-02,1.820000000000000000e+03,9.121677499999999839e+01
5.813488541000000254e+01,2.557972700000000002e-02,1.070621000000000009e+02,4.639999999999999680e-02,1.907000000000000000e+03,1.343502880000000062e+02
5.821411918999999813e+01,1.933847799999999922e-02,1.071804999999999950e+02,4.649999999999999967e-02,1.880000000000000000e+03,1.053589099999999945e+02
5.838641434000000174e+01,3.999584800000000051e-02,1.073071999999999946e+02,4.379999999999999866e-02,1.922000000000000000e+03,1.301076480000000117e+02
5.856380389000000264e+01,4.559530600000000211e-02,1.074553999999999974e+02,4.859999999999999737e-02,2.280000000000000000e+03,6.434671699999999817e+01
5.853331028000000202e+01,4.776601800000000037e-02,1.073555999999999955e+02,4.150000000000000216e-02,2.205000000000000000e+03,1.569777049999999861e+02
5.864177570999999745e+01,4.216133300000000222e-02,1.075110999999999990e+02,4.390000000000000152e-02,2.069000000000000000e+03,8.909545400000000370e+01
5.848927241999999893e+01,6.581615700000000013e-02,1.074836999999999989e+02,3.869999999999999829e-02,1.922000000000000000e+03,3.606244600000000133e+01
5.863583346000000063e+01,4.987856599999999918e-02,1.075501000000000005e+02,4.059999999999999720e-02,1.893000000000000000e+03,6.222539700000000096e+01
5.853078840999999954e+01,3.725861600000000134e-02,1.077596000000000060e+02,3.719999999999999696e-02,2.464000000000000000e+03,1.767766999999999911e+01
5.773525693999999930e+01,4.155677299999999824e-02,1.066937000000000069e+02,3.939999999999999752e-02,1.841000000000000000e+03,6.010407599999999917e+01
5.777495009999999809e+01,5.169951999999999881e-02,1.068456000000000046e+02,4.540000000000000285e-02,1.665000000000000000e+03,4.384062000000000126e+01
5.779081671000000142e+01,5.331435300000000183e-02,1.066693999999999960e+02,4.619999999999999801e-02,1.893000000000000000e+03,6.222539700000000096e+01
5.774459266000000213e+01,4.673620700000000183e-02,1.066595999999999975e+02,1.040999999999999981e-01,1.881000000000000000e+03,4.666904799999999653e+01
5.789058959999999843e+01,4.460461500000000024e-02,1.068616999999999990e+02,5.009999999999999870e-02,1.802000000000000000e+03,2.828427100000000038e+01
5.795568719999999985e+01,3.924806899999999654e-02,1.068358000000000061e+02,4.379999999999999866e-02,1.873000000000000000e+03,2.262741700000000122e+01
5.809567387999999966e+01,3.820612500000000050e-02,1.068560999999999979e+02,4.630000000000000088e-02,2.101000000000000000e+03,1.117228709999999978e+02
5.707784033000000079e+01,4.523706100000000202e-02,1.045651000000000010e+02,5.179999999999999882e-02,1.637000000000000000e+03,7.071070000000000411e-01
5.707895359999999840e+01,2.240307999999999883e-02,1.045437000000000012e+02,4.700000000000000011e-02,1.717000000000000000e+03,1.060660200000000053e+01
5.712260324999999739e+01,1.527389900000000050e-02,1.044128000000000043e+02,4.490000000000000241e-02,1.790000000000000000e+03,7.071070000000000411e-01
5.706118517000000168e+01,1.507369100000000017e-02,1.044005999999999972e+02,4.689999999999999725e-02,1.747000000000000000e+03,2.474873699999999843e+01
5.709534568000000121e+01,1.206870699999999970e-02,1.044613999999999976e+02,5.290000000000000258e-02,1.892000000000000000e+03,5.515432899999999705e+01
5.708653031000000055e+01,2.586239300000000088e-02,1.043572000000000060e+02,4.700000000000000011e-02,1.989000000000000000e+03,1.096015510000000006e+02
